;doc;source;author;title;year;period;text_type;sentence
48321;IWterribilmente.csv;itWaC;http://www.psychiatryonline.it/ital/egiziano.htm;http://www.psychiatryonline.it/ital/egiziano.htm;2006.0;2001-2021;web;['mi sentivo terribilmente solo, tutto mi sembrava ostile.']
48345;IWterribilmente.csv;itWaC;http://www.ondarock.it/forum/viewtopic.php?t=1074&postdays=0&postorder=asc&start=20;http://www.ondarock.it/forum/viewtopic.php?t=1074&postdays=0&postorder=asc&start=20;2006.0;2001-2021;web;['tutto è ora assorbito dal fattore b. e questo sta impoverendo terribilmente la cultura critica e intellettuale del nostro paese.']
48349;LIT3.txt;LIT;Rai4;"Cartone animato Superdog ""Zio Streghetto supereroe""";2006.0;2001-2021;dialogo;['sono terribilmente spiacente   ma purtroppo al momento non sono in casa   siete pregati di passare']
48356;IWterribilmente.csv;itWaC;http://www.rockit.it/pub/i.php?x=00000216;http://www.rockit.it/pub/i.php?x=00000216;2006.0;2001-2021;web;['sushi   guarda la scheda per capire il sushi pensiero, quello oscuro e delizioso del secondo album   un mondo terribilmente volgare  , mi reco direttamente nel cuore di torino, dove abitano ale e otti, rispettivamente tastiere e voce della']
48358;LIT2.txt;LIT;Rai3;Cartone animato Krypto - Superdog “Un robot mega extra extra super”;2006.0;2001-2021;dialogo;['oh oh sono terribilmente in ritardo le faccio le mie scuse signora ma devo andare']
48364;IWterribilmente.csv;itWaC;http://www.omero.it/nucleus/plugins/print/print.php?itemid=160;http://www.omero.it/nucleus/plugins/print/print.php?itemid=160;2006.0;2001-2021;web;['poi è terribilmente triste perché suo padre muore da artista incompiuto, perciò parecchia della sua tristezza è proprio per suo padre.']
48365;IWterribilmente.csv;itWaC;http://www.griseldaonline.it/formazione/medea_matarazzo.htm;http://www.griseldaonline.it/formazione/medea_matarazzo.htm;2006.0;2001-2021;web;['testo   scena x atto ii   nosside: la corona splendidissima brillò tra lo stupore di tutti, lanciando lampi terribilmente convincenti.']
48378;IWterribilmente.csv;itWaC;http://www.20thfox.it/FoxFront/news/schedaNews.asp?idNews=145;http://www.20thfox.it/FoxFront/news/schedaNews.asp?idNews=145;2006.0;2001-2021;web;['anche se ai genitori ashoke e ashima  irfan khan e tabu  mancano terribilmente la cultura e la famiglia che li circondava e li proteggeva in india, essi sono molto fieri delle grandi opportunità che,']
48380;IWterribilmente.csv;itWaC;http://www.diario.it/index.php?page=bn000066;http://www.diario.it/index.php?page=bn000066;2006.0;2001-2021;web;['ma nonostante ciò  anzi, proprio per questo  terribilmente pericolosi.']
48384;IWterribilmente.csv;itWaC;http://www.film.it/articoli/2003/09/04/461622.php?ppid=483298;http://www.film.it/articoli/2003/09/04/461622.php?ppid=483298;2006.0;2001-2021;web;['amico che in fondo nessuno al mondo è un perfetto umano, ma che leth, come lui stesso, sono semplicemente degli esseri terribilmente limitati che   capiranno qualcosa forse fra due giorni  .']
48392;IWterribilmente.csv;itWaC;http://blog.virgilio.it/bloggers/xnoemy90x/weblog.php?idPostZoom=P3ff2acf99d96e&PHPSESSID=5804ebc96fb9ae85fbcc9b4dd2d04df3;http://blog.virgilio.it/bloggers/xnoemy90x/weblog.php?idPostZoom=P3ff2acf99d96e&PHPSESSID=5804ebc96fb9ae85fbcc9b4dd2d04df3;2006.0;2001-2021;web;['mi sentivo sola, terribilmente sola.']
48395;IWterribilmente.csv;itWaC;http://www.cronologia.it/storia/aa1002b.htm;http://www.cronologia.it/storia/aa1002b.htm;2006.0;2001-2021;web;['ostrogoti ed infine i longobardi, i quali nel     rappresentarono il colpo di grazia inferto ad una terra che era uscita terribilmente stremata da questa serie di lotte, con l   economia rovinata e le sue pianure completamente devastate e spopolate.']
