doc;source;author;title;year;text_type
LISGinzburg8.txt;LIS;Natalia Ginzburg;Film;1970;stampa
LISGinzburg9.txt;LIS;Natalia Ginzburg;L'attore ;1970;stampa
LISGinzburg10.txt;LIS;Natalia Ginzburg;Ricordo di Carlo Levi ;1970;stampa
Espositivi.IV.25.Testo.txt;MIDIA;Niccolò Palmeri;Calendario dello agricoltore siciliano;1801;espositivo
Espositivi.IV.26.Testo.txt;MIDIA;Niccolò Palmeri;Somma della storia di Sicilia;1801;espositivo
BibItTommaseo1.txt;BibIt;Niccolò Tommaseo;Poesie;1833;poesia
ProsaLett.IV.49.Testo.txt;MIDIA;Niccolò Tommaseo;Fede e bellezza;1852;prosa letteraria
LISAbbagnano1.txt;LIS;Nicola Abbagnano;Morte dell'uomo;1967;stampa
LISAbbagnano2.txt;LIS;Nicola Abbagnano;Crisi dell'educazione liberale;1964;stampa
LISAbbagnano3.txt;LIS;Nicola Abbagnano;La felicità;1964;stampa
LISAbbagnano4.txt;LIS;Nicola Abbagnano;Comprendere è perdonare;1964;stampa
LISAbbagnano5.txt;LIS;Nicola Abbagnano;L'amicizia;1964;stampa
LISAbbagnano6.txt;LIS;Nicola Abbagnano;I diritti dell'uomo;1964;stampa
LISAbbagnano7.txt;LIS;Nicola Abbagnano;Il divertimento;1964;stampa
LISAbbagnano8.txt;LIS;Nicola Abbagnano;La fortuna;1964;stampa
LISAbbagnano9.txt;LIS;Nicola Abbagnano;Il fanatismo;1965;stampa
LISAbbagnano10.txt;LIS;Nicola Abbagnano;Il 'significato' della vita;1965;stampa
LISAbbagnano11.txt;LIS;Nicola Abbagnano;Diritto e giustizia;1966;stampa
LISAbbagnano12.txt;LIS;Nicola Abbagnano;Utilitarismo vecchio e nuovo;1966;stampa
LISAbbagnano13.txt;LIS;Nicola Abbagnano;Ottimismo e pessimismo;1966;stampa
LISAbbagnano14.txt;LIS;Nicola Abbagnano;Diritto e morale;1966;stampa
LISAbbagnano15.txt;LIS;Nicola Abbagnano;Crimine e punizione;1966;stampa
LISAbbagnano16.txt;LIS;Nicola Abbagnano;Adolescenza dell'umanità;1967;stampa
LISAbbagnano17.txt;LIS;Nicola Abbagnano;Il tempo;1964;stampa
LISAbbagnano18.txt;LIS;Nicola Abbagnano;Il significato della storia;1966;stampa
LISAbbagnano19.txt;LIS;Nicola Abbagnano;L'Utopia;1966;stampa
LISAbbagnano20.txt;LIS;Nicola Abbagnano;La pace: mito e realtà;1967;stampa
LISAbbagnano21.txt;LIS;Nicola Abbagnano;Razza/ cultura e storia;1967;stampa
LISAbbagnano22.txt;LIS;Nicola Abbagnano;Il mito;1967;stampa
LISAbbagnano23.txt;LIS;Nicola Abbagnano;Un nuovo femminismo ;1970;stampa
LISAbbagnano24.txt;LIS;Nicola Abbagnano;Monogamia in crisi? ;1970;stampa
LISAbbagnano25.txt;LIS;Nicola Abbagnano;In pieno romanticismo;1970;stampa
LISAbbagnano26.txt;LIS;Nicola Abbagnano;Il senso della sfida;1970;stampa
LISAbbagnano27.txt;LIS;Nicola Abbagnano;L'intelligenza contro il caos ;1970;stampa
LISAbbagnano28.txt;LIS;Nicola Abbagnano;Incognite del '71;1970;stampa
LISAbbagnano29.txt;LIS;Nicola Abbagnano;La terza faccia della luna ;1970;stampa
LISAbbagnano30.txt;LIS;Nicola Abbagnano;La macchina e le scelte dell'uomo;1970;stampa
LISAbbagnano31.txt;LIS;Nicola Abbagnano;Matematica/ automi e libertà dell'uomo ;1970;stampa
LISAbbagnano32.txt;LIS;Nicola Abbagnano;La divinità e il caso;1970;stampa
LISAbbagnano33.txt;LIS;Nicola Abbagnano;Superman assente;1970;stampa
LISAbbagnano34.txt;LIS;Nicola Abbagnano;Arte contro religione;1970;stampa
LISAbbagnano35.txt;LIS;Nicola Abbagnano;L'arte e il caso ;1970;stampa
LISAbbagnano36.txt;LIS;Nicola Abbagnano;Tra stregonerie vecchi e nuove ;1970;stampa
LISAbbagnano37.txt;LIS;Nicola Abbagnano;Mefistofele e Faust ;1970;stampa
LISAbbagnano38.txt;LIS;Nicola Abbagnano;La nostalgia dell'infanzia ;1970;stampa
LISAbbagnano39.txt;LIS;Nicola Abbagnano;Perché debbo esser morale? ;1970;stampa
LISAbbagnano40.txt;LIS;Nicola Abbagnano;I violenti non fanno storia ;1970;stampa
LISAbbagnano41.txt;LIS;Nicola Abbagnano;I profeti dell'istinto ;1970;stampa
LISAbbagnano42.txt;LIS;Nicola Abbagnano;Lo sportivo che è in noi;1970;stampa
LISAbbagnano43.txt;LIS;Nicola Abbagnano;Il peso del mondo ;1970;stampa
BibItErizzo1.txt;BibIt;Nicolò Erizzo;Relazione di Germania (1738);1738;personale
BibItFoscarini2.txt;BibIt;Nicolò Foscarini;Relazione di Costantinopoli (1793);1793;personale
BibItFoscarini3.txt;BibIt;Nicolò Foscarini / Lorenzo Tiepolo;Relazione di Francia di Nicolò Foscarini e Lorenzo Tiepolo (1723);1723;personale
LISJotti1.txt;LIS;Nilde Jotti;La questione dei fumetti;1951;stampa
Personali.V.13.Testo.txt;MIDIA;Olindo Guerrini;Brani di vita;1908;personale
LISBuono1.txt;LIS;Oreste del Buono;Permettete (o no?) questo splendido tango?;1973;stampa
diacorisBuono1.txt;DiaCoris;Oreste del Buono;Il romanzo nero;1947;stampa
LISFallaci1.txt;LIS;Oriana Fallaci;Nixon non mi è piaciuto;1968;stampa
LISFallaci2.txt;LIS;Oriana Fallaci;Con gli uomini che vanno sulla Luna ;1968;stampa
LISFallaci3.txt;LIS;Oriana Fallaci;L'uomo è sulla Luna ;1969;stampa
LISFallaci4.txt;LIS;Oriana Fallaci;Ho sentito i soldati americani implorare: 'Dio/ non farmi morire';1968;stampa
LISFallaci5.txt;LIS;Oriana Fallaci;La notte di sangue in cui sono stata ferita;1968;stampa
LISFallaci6.txt;LIS;Oriana Fallaci;Per avere un figlio darebbe metà del suo regno ;1954;stampa
LISFallaci7.txt;LIS;Oriana Fallaci;Pasolini ucciso da due motociclisti? ;1975;stampa
LISFallaci8.txt;LIS;Oriana Fallaci;Kissinger rivela ;1972;stampa
diacorisFallaci1.txt;DiaCoris;Oriana Fallaci;Parla 007;1965;stampa
LISVergani1.txt;LIS;Orio Vergani;Corrado Alvaro;1956;stampa
LISVergani2.txt;LIS;Orio Vergani;Bruno Barilli;1952;stampa
LISVergani3.txt;LIS;Orio Vergani;Luigi Barzini senior;1959;stampa
LISVergani4.txt;LIS;Orio Vergani;Happy Belaforte;1958;stampa
LISVergani5.txt;LIS;Orio Vergani;Vincenzo Cardarelli;1959;stampa
LISVergani6.txt;LIS;Orio Vergani;Primo Carnera;1959;stampa
LISVergani7.txt;LIS;Orio Vergani;Gino Cervi;1959;stampa
LISVergani9.txt;LIS;Orio Vergani;Maria D'Annunzio;1954;stampa
LISVergani10.txt;LIS;Orio Vergani;Peppino De Filippo (;1959;stampa
LISVergani12.txt;LIS;Orio Vergani;Eleonora Duse ;1954;stampa
LISVergani13.txt;LIS;Orio Vergani;La figlia di Jorio ;1954;stampa
LISVergani14.txt;LIS;Orio Vergani;Garbo Greta;1953;stampa
LISVergani16.txt;LIS;Orio Vergani;Beniamino Gigli ;1957;stampa
