;;doc;source;author;title;year;period;text_type;sentence
1801-1850;8243;Espositivi.V.25.Testo.txt;MIDIA;Giovanni Rajberti;L’arte di convitare ;1850.0;1801-1850;espositivo;['passeggiando concitatamente innanzi indietro per il mio studio, come una belva feroce nella gabbia di ferro, gridai: s, s, deve essere in questo modo, anzi : ecco il vero concetto: non aveva trovata lespressione, ma il pensiero mi bolliva terribilmente nel cervello.', 'dico unora, perch le famiglie del mezzogiorno quando fanno inviti, diventano terribilmente aristocratiche, e sono capaci di aspettare fino alla una , dunque bisogner tralasciare di far colazione: e poi, che si fa tutto il resto della giornata?']
1851-1900;8253;GBterribilmente.csv;Gutenberg; Cesare Balbo; conte,Della storia d''Italia dalle origini fino ai nostri giorni, sommario. v. 1;1852.0;1851-1900;prosa letteraria;['ma ciò posto ed eccettuato francamente, ed eccettuate forse alcune vendette personali terribilmente fatte con sue parole immortali, dante e il poema suo restan pure l  uomo e il libro incontrastabilmente piú virili ed']
1851-1900;8263;li1236.txt;CLiGS Ro;Giovanni Ruffini;Lorenzo Benoni/ ovvero scene della vita di un italiano;1853.0;1851-1900;prosa letteraria;"['uno mostra con aria addolorata la guancia, che poco innanzi era sanissima, terribilmente gonfiata per un mal di denti; un altro si è slogata una congiuntura e la mostra orribilmente contratta; un terzo alza l indice della mano destra fasciato di cenci, e dice d esserselo tagliato fino all osso; altri infine sostengono audacemente d aver già consegnato il componimento e che deve essere smarrito, e vanno attorno cercandolo.', 'ma la mia gioia fu presto scemata, vedendo l aspetto di fantasio terribilmente cambiato.']"
1851-1900;8265;LLBettoni1.txt;Liber Liber;Paolo Bettoni;Tre racconti sentimentali;1855.0;1851-1900;prosa letteraria;['egli morde terribilmente all amo e fa delle vere prodezze.']
1851-1900;8272;GBterribilmente.csv;Gutenberg; Thomas Babington Macaulay Macaulay; Baron,Storia d''Inghilterra, vol 2;1858.0;1851-1900;prosa letteraria;['i delitti che avevano disonorato il procelloso tribunato di shaftesbury, erano stati terribilmente espiati.']
1851-1900;8280;li1099.txt;CLiGS Ro;Carlo Righetti;La scapigliatura e il 6 febbrajo;1861.0;1851-1900;prosa letteraria;['il governo austriaco infatti ne fu terribilmente colpito.', 'il dal poggio a quest intimazione si sentí montar il sangue alla testa, e alzando terribilmente la voce, corse all insulto:   siete un miserabile furfante,   gridò   questo vi valga come uno schiaffo sul viso.']
1851-1900;8281;li0614.txt;CLiGS Ro;Ferdinando Petruccelli della Gattina;I moribondi del Palazzo Carignano;1862.0;1851-1900;prosa letteraria;['il suo naso terribilmente rosso   diventava un carbone infiammato per beatitudine.']
1851-1900;8290;GBterribilmente.csv;Gutenberg; Maria S. (Maria Susanna) Cummins;Il lampionaio;1865.0;1851-1900;prosa letteraria;['ah, sembrava un uomo tanto ammodo quando sarina lo sposò, e finì col truffare il babbo terribilmente , sicchè fu costretto a ipotecare la sua casa di via alta, e da ultimo a cederla!']
1851-1900;8291;GBterribilmente.csv;Gutenberg; Maria S. (Maria Susanna) Cummins;Il lampionaio;1865.0;1851-1900;prosa letteraria;['al contrario, ne ho sofferto terribilmente !']
1851-1900;8292;GBterribilmente.csv;Gutenberg; Maria S. (Maria Susanna) Cummins;Il lampionaio;1865.0;1851-1900;prosa letteraria;['ella si rizzò, prese risoluta un foglio, e scrisse con una febbrile rapidità che mostrava come profondamente, e quasi terribilmente , fosse scossa in tutto il suo essere, anima e corpo, e si piegasse, vacillasse sotto il peso delle speranze, delle ansie']
