;doc;source;author;title;year;period;text_type;sentence
8520;GBorribilmente.csv;Gutenberg; Michele Amari;Storia dei musulmani di Sicilia, vol. I;1888.0;1851-1900;prosa letteraria;"['venire alle mani coi diecimila ome adi; e finì che costoro sul campo di battaglia voltaron le spalle, e gli altri furono orribilmente mietuti dal nemico.']"
8521;GBorribilmente.csv;Gutenberg; Michele Amari;La guerra del Vespro Siciliano vol. 1: Un periodo delle storie Siciliane del secolo XIII;1888.0;1851-1900;prosa letteraria;['del decimottavo secolo, e la dira pestilenza del milleottocentotrentasette, esiziale a sicilia, in tre settimane orribilmente il colmò.']
8523;GBorribilmente.csv;Gutenberg; Michele Amari;Storia dei musulmani di Sicilia, vol. I;1888.0;1851-1900;prosa letteraria;[', poste in quei dì fuor le mura: ma lo stuolo che spogliava la chiesa di san paolo, affrontato dai contadini, fu scemato orribilmente , e tutto l  esercito s  ebbe indi a ritrarre.']
8527;GBorribilmente.csv;Gutenberg; Michele Amari;La guerra del Vespro Siciliano vol. 1: Un periodo delle storie Siciliane del secolo XIII;1888.0;1851-1900;prosa letteraria;"['vinto corradino, il dicemmo, orribilmente vendicavasi il re; ma al superbo animo non bastava.']"
8528;GBorribilmente.csv;Gutenberg; Michele Amari;La guerra del Vespro Siciliano vol. 2: Un periodo delle storie Siciliane del secolo XIII;1888.0;1851-1900;prosa letteraria;"['; ma soffiò sì atroce il tre dicembre, che la flotta tra sardegna e le baleari e su per lo golfo del lione per tre dì orribilmente fortuneggiava.']"
8529;GBorribilmente.csv;Gutenberg; Ferdinando Petruccelli della Gattina;Le notti degli emigrati a Londra;1889.0;1851-1900;prosa letteraria;['le manette e le catene mi facevano soffrire orribilmente , e risentivo nel capo i balzi prodigiosi e gli sbattimenti amorosi della kibitka.']
8532;GBorribilmente.csv;Gutenberg; Ferdinando Petruccelli della Gattina;Le notti degli emigrati a Londra;1889.0;1851-1900;prosa letteraria;['la yurta era orribilmente sudicia e miserabile.']
8533;GBorribilmente.csv;Gutenberg; Ferdinando Petruccelli della Gattina;Il Re prega: Romanzo;1889.0;1851-1900;prosa letteraria;['l  impiegato del posto della lotteria, che vide venire quell  uomo orribilmente pallido ed insanguinato, restò sbalordito.']
8540;GBorribilmente.csv;Gutenberg; Ferdinando Petruccelli della Gattina;Il Re prega: Romanzo;1889.0;1851-1900;prosa letteraria;['divenne orribilmente pallido.']
8544;GBorribilmente.csv;Gutenberg; Ferdinando Petruccelli della Gattina;I suicidi di Parigi;1889.0;1851-1900;prosa letteraria;['trovò alla porta nick, che gli ringhiò orribilmente , e sordamente gemè.']
8546;GBorribilmente.csv;Gutenberg; A. (Auguste) Debay;Igiene dei piaceri secondo le età, i temperamenti e le stagioni;1889.0;1851-1900;prosa letteraria;['erano oltremodo gonfie, gli cadevano i capelli a ciocche, la pelle gli si copriva di pustole, il virus straziava orribilmente il povero alfonso.']
8547;GBorribilmente.csv;Gutenberg; Ferdinando Petruccelli della Gattina;Le notti degli emigrati a Londra;1889.0;1851-1900;prosa letteraria;['degli uomini a lunga barba, dalle lunghe zazzere orribilmente irte e luride, dal color quasi nero, le guance ed il fronte stigmatizzati dal ferro rovente, che vi aveva impresso la']
8553;GBorribilmente.csv;Gutenberg; Ferdinando Petruccelli della Gattina;I suicidi di Parigi;1889.0;1851-1900;prosa letteraria;"['il fatto è che la fisonomia del principe si scomponeva a vista; che i suoi occhi addiventavano orribilmente stralunati; che un pallore cinereo si diluiva sul suo sembiante; che la sua bocca contorcevasi; ch  e   tremava tutto;']"
8558;GBorribilmente.csv;Gutenberg; Ferdinando Petruccelli della Gattina;Memorie di Giuda, vol. II;1889.0;1851-1900;prosa letteraria;['seguì fra lei e suo marito dopo la mia partenza, mi disse, che da quella sera pilato era divenuto invisibile e sembrava orribilmente triste.']
8560;GBorribilmente.csv;Gutenberg; Ferdinando Petruccelli della Gattina;Memorie di Giuda, vol. II;1889.0;1851-1900;prosa letteraria;['da quelle morse viventi, da quei ferri divoratori, riuscì a sbrattarne per un istante ancora il suo bel viso, orribilmente lacerato, poi vacillò e si abbiosciò.']
8562;GBorribilmente.csv;Gutenberg; Ferdinand Gregorovius;Passeggiate per l''Italia, vol. 5;1890.0;1851-1900;prosa letteraria;"['della lava rappresa; monti vomitati dal monte seppellirono i campi e le città, e la terra fusa indurisce selvaggia, orribilmente compressa nelle sue zolle.']"
8564;li1442.txt;CLiGS Ro;Ferdinando Petruccelli della Gattina;Il sorbetto della regina;1890.0;1851-1900;prosa letteraria;"['gridò bruto orribilmente pallido.', 'gridava una donna dalla faccia e dalla persona orribilmente sudice; vengono fuori or ora dal forno, i biscottini!', 'arrivati al corpo di guardia, lo gettarono in un buco orribilmente fetido e formicolante d insetti, ove non poteva tenersi nè in piedi, nè coricato.', 'mi sentivo più leggero, ma orribilmente triste.']"
8577;GBorribilmente.csv;Gutenberg; Luigi Amabile;Fra Tommaso Campanella, Vol. 2: la sua congiura, i suoi processi e la sua pazzia;1891.0;1851-1900;prosa letteraria;"['impossibile seguire tutti i particolari di questo processo, condotto a sbalzi per due anni interi, senza intralciare orribilmente la narrazione del processo principale ed anche correre il rischio di non finirla più; ma non possiamo dispensarci dal']"
8578;diacorisAnonimo1.txt;DiaCoris;Anonimo;Mastro titta / Il boia di Roma. Memorie di un carnefice scritte da lui stesso;1891.0;1851-1900;personale;"['pacifico santinelli intanto si impazientiva orribilmente e andava dicendo al suo carceriere che se non gli si apriva la porta un giorno o l   altro l   avrebbe strozzato colle proprie mani .', 'le vene del paziente si gonfiavano orribilmente ; il viso s   era fatto paonazzo , poi quasi nero ; gli occhi gli schizzavano dall   orbita ; la lingua gli usciva per tre quarti dello bocca .', 'quando una passione non ha potuto avere il suo svolgimento nei sensi di una donna questa ne soffre orribilmente , il suo carattere si altera e di leggieri si dà in balìa agli eccessi più mostruosi .', 'la lama del pugnale di luigi finocchi , gli aveva orribilmente squarciata la gola e troncata colla jugulare la vita .', 'in quel momento il torturato soffre orribilmente, perché il peso del corpo disloca le spalle e gli rompe le braccia al di sopra del capo .']"
8584;GBorribilmente.csv;Gutenberg; Antonio Ghislanzoni;Racconti e novelle;1892.0;1851-1900;prosa letteraria;['siano informati, come e qualmente abbia esistito a milano un esercente di caffè restaurant, il quale ad un giovane orribilmente compromesso nella opinione pubblica dalla sua duplice professione di giornalista e di poeta, per oltre un anno diede a']
8591;GBorribilmente.csv;Gutenberg; Antonio Ghislanzoni;Racconti politici;1892.0;1851-1900;prosa letteraria;['la società è orribilmente viziata e incadaverita.']
8592;GBorribilmente.csv;Gutenberg; Antonio Ghislanzoni;AbrakadabraL Storia dell''avvenire;1892.0;1851-1900;prosa letteraria;['i dottori dell  epoca vi rispondono:  la eccezione si è fatta per ristabilire e generalizzare il matrimonio, orribilmente screditato nel secolo precedente.']
8618;GBorribilmente.csv;Gutenberg; Luigi Gualdo;La gran rivale;1897.0;1851-1900;prosa letteraria;['e forzato gli passava sul labbro, uno di quei sorrisi che fanno male a vedere  e la mia idea fissa mi faceva soffrire orribilmente , l  idea ch  egli non mi ama più.']
8621;BibItVerga2.txt;BibIt;Giovanni Verga;Eros;1898.0;1851-1900;prosa letteraria;['tutt a un tratto piantò in volto ad alberto uno sguardo e un sorriso singolari, e gli disse:   ma noi ci compromettiamo orribilmente, mio caro!', 'un ebbene che avrebbe stonato orribilmente nella conversazione generale, se in quel momento tutti non fossero stati distratti da una discussione abbastanza calorosa.', 'avrebbe fatto peggio, perché m annoiavo orribilmente.']
8659;GBorribilmente.csv;Gutenberg; Vittorio Bersezio;La plebe, parte IV;1899.0;1851-1900;prosa letteraria;['stralunò gli occhi, rise orribilmente , battè l  aria colle braccia come fa delle ali uccello ferito che non può più levarsi a volo, mandò un grido soffocato, un']
8660;GBa_randomsample.csv;Gutenberg; Elia Benamozegh;Storia degli Esseni: Lezioni;1899.0;1851-1900;prosa letteraria;['giunti che furono ad un laghetto di acqua_  notate che le parole testuali sono orribilmente oscure e i più grandi interpreti eziandio confessano di andarci a tentoni , stese la mano r.']
8665;GBorribilmente.csv;Gutenberg; Elia Benamozegh;Storia degli Esseni: Lezioni;1899.0;1851-1900;prosa letteraria;['giunti che furono ad un laghetto di acqua_  notate che le parole testuali sono orribilmente oscure e i più grandi interpreti eziandio confessano di andarci a tentoni , stese la mano r. josè per raccogliere nel']
8667;GBorribilmente.csv;Gutenberg; Vittorio Bersezio;La plebe, parte I;1899.0;1851-1900;prosa letteraria;['levatosi a sedere sul letto, getta le magre gambe fuori delle coltri per torsi di là, infuocato nelle guancie, gli occhi orribilmente fuor del punto, le mani agitantisi in moto convulso.']
8669;GBorribilmente.csv;Gutenberg; Vittorio Bersezio;La plebe, parte III;1899.0;1851-1900;prosa letteraria;"['il sangue torsero convulsamente le pupille, le guancie, divenute d  un rosso cupo, quasi violaceo, si contrassero orribilmente , la bocca piegò tutta a sinistra con una smorfia orribile a vedersi; un suono gutturale uscì da quelle labbra annerite,']"
8672;GBorribilmente.csv;Gutenberg; Emilio De Marchi;Nuove storie d''ogni colore;1900.0;1851-1900;prosa letteraria;['a manardi seccava orribilmente di dover procedere per le vie legali, che oltre all  odiosità di un sequestro, fanno perdere un tempo enorme e consumano']
8673;diacorisValera1.txt;DiaCoris;Paolo Valera;Le terribili giornate del maggio '98: storia documentata;1900.0;1851-1900;espositivo;['ci si diceva che aveva sofferto orribilmente a passare per le vie con tanti arrestati e cogli ordini severi che avevano soldati e agenti di p .']
8676;GBorribilmente.csv;Gutenberg; Emilio De Marchi;Nuove storie d''ogni colore;1900.0;1851-1900;prosa letteraria;['dato un uomo di questa natura, è facile immaginare come la preghiera del presidente gli dovesse orribilmente seccare.']
